BG_ID	Date	Station	Total Phyto Reads	Actinocyclus	Actinoptychus	Adriamonas	Alexandrium	Amoebophrya_sp_Dinophysis	Amoebophrya_sp_Gymnodinium	Amoebophrya_sp_Karlodinium	Amoebophrya_sp_Prorocentrum	Amoebophrya_sp_Scrippsiella	Apedinella	Aplanochytrium	Archaeplastida	Asteromphalus	Aulacoseira	Aureococcus	Bacillariophyceae	Bathycoccus	Bicosoeca	Bicosoecida	Biddulphia	Bolidomonas	Brockmanniella	Cerataulina	Chaetoceros	Charophyta	Chlamydomonadales	Chlamydomonas	Chlorophyceae	Chlorophyta	Chloroplastida	Chromulinales	Chroomonas	Chrysocampanula	Chrysochromulina	Chrysophyceae	Coccolithales	Cocconeis	Coscinodiscus	Crustomastix	Cryptomonadales	Cryptomonas	Cryptophyceae	Cyclotella	Cylindrotheca	Cymbomonas	Desmodesmus	Dinoflagellata	Dinophysis	Ditylum	Duboscquella	Eucampia	Euduboscquella	eukaryote_marine_clone	Eunotogramma	Gonyaulacales	Gonyaulax	Guinardia	Gymnodinium_clade	Gyrodinium	Hafniomonas	Helicotheca	Hemiarma	Hemiselmis	Heterocapsa	Heterosigma	Isochrysidales	Karlodinium	Katablepharis	Lauderia	Lepidodinium	Leptocylindrus	Mallomonas	Mamiella	Mantoniella	Mediophyceae	Melosira	Micromonas	Monomastix	Mychonastes	Nannochloropsis	Navicula	Neoceratium	Nephroselmis	Nerada	Nitzschia	Noctiluca	Ochrophyta	Odontella	Ostreococcus	Oxyrrhis	Paramonas	Paraphysomonas	Pavlova	Pedinellales	Pedinomonas	Peridiniopsis	Phaeocystis	Plagioselmis	Pleurosigma	Protoperidinium	Prymnesiales	Prymnesiophyceae	Prymnesium	Pseudoisochrysis	Pseudonitzschia	Pseudopedinella	Pteridomonas	Pterosperma	Pyramimonas	Rhizosolenia	Rhodomonas	Skeletonema	Spermatozopsis	Spumella	Stramenopiles	Suessiaceae	Syndiniales	Synedra	Synura	Teleaulax	Telonema	Tetraselmis	Thalassiosira	Thoracosphaeraceae	Thraustochytriaceae	Thraustochytrium	Trebouxiophyceae	Triparma	Ulnaria	Ulvophyceae	Vorticellides	Zygnematophyceae	Stoeckeria	Peridiniales	Akashiwo	eukaryote_clone	Picochlorum	Minidiscus	Fragilariopsis	Scrippsiella	Prorocentrum	Amoebophyra	Amoebophyra_sp_Cochlodinium	Stephanodiscus	Thraustochytriidae	Entomoneis	Pedinophyceae	Symbodinium	Geminigera	prasinophyte	Paragymnodinium	Pediastrum	Gymnodinium	Discostella	Amoebophrya
SB352	11/18/2014	6	11986	0	0	0	9	0	0	26	356	0	32	0	0	0	0	0	54	20	0	2	0	34	0	2	12	263	0	0	8	130	7	0	0	0	27	0	0	0	0	0	2742	0	0	1161	0	0	0	420	0	0	0	0	25	281	0	0	0	0	277	499	0	0	0	153	0	0	0	5	218	0	0	0	0	77	0	99	0	98	0	0	0	0	0	0	0	0	0	141	0	2254	8	0	49	0	9	0	0	0	0	0	0	0	0	3	0	0	6	0	0	12	0	0	2	0	0	19	186	3	0	0	539	162	6	827	11	11	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553
SB353	11/18/2014	13	2930	0	0	0	17	0	0	0	499	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	252	0	0	0	0	0	18	0	0	0	0	439	64	0	0	0	0	0	24	0	3	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SB354	11/18/2014	18	13093	0	0	0	805	0	5	15	383	0	12	36	16	0	0	0	22	383	0	2	0	10	0	40	22	0	0	0	0	183	0	0	0	0	77	0	0	0	39	0	338	0	0	0	2	0	0	2751	0	4	0	30	59	725	0	0	0	30	815	366	0	0	0	47	147	12	0	35	336	0	0	5	0	0	0	181	0	291	0	0	0	0	397	0	0	0	242	242	13	185	0	0	7	0	0	0	0	66	0	0	37	85	30	42	0	4	11	3	0	238	0	206	145	0	0	288	0	52	0	0	884	98	75	617	0	26	0	146	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714
SB355	11/18/2014	22	6312	0	7	0	217	0	0	65	342	0	0	6	0	0	0	0	0	280	0	14	0	19	0	19	15	6	0	0	0	145	0	0	0	0	27	0	0	0	29	0	107	0	0	0	9	0	0	1410	0	0	9	5	21	181	0	4	0	9	394	308	0	0	0	14	13	2	13	17	141	0	0	13	0	0	0	94	0	150	0	0	0	0	132	0	0	0	39	40	0	117	0	0	5	0	0	0	0	41	0	0	13	16	0	3	0	7	0	0	0	266	0	32	46	0	0	96	0	16	0	0	747	41	0	181	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
SB356	11/18/2014	27	19693	0	0	0	16	0	44	87	397	0	91	32	2	0	0	87	46	2363	0	62	0	14	0	0	0	11	0	0	0	720	0	0	0	0	190	0	0	0	37	0	1700	0	5	0	0	0	0	1755	0	18	160	0	25	935	0	0	0	0	392	215	0	0	0	199	76	0	0	703	260	0	0	0	0	0	0	488	0	232	0	0	0	0	0	0	0	0	0	135	45	377	0	0	0	0	0	0	0	0	0	0	0	85	0	22	0	0	0	0	0	859	0	376	126	0	0	116	0	3	0	0	1765	479	32	155	0	126	0	3149	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475
SB357	11/18/2014	32	13715	0	10	0	0	0	0	19	21	0	17	8	0	0	0	37	45	1817	10	91	0	31	0	0	2	54	0	0	0	650	87	0	0	0	45	0	3	0	0	0	1073	0	0	0	0	0	0	646	0	5	83	0	72	716	4	0	13	0	89	40	0	0	0	283	0	0	0	153	228	0	0	0	0	0	0	1615	0	991	0	0	0	3	0	0	0	1	0	160	0	1004	0	0	24	0	0	0	0	0	0	0	0	2	0	13	0	0	0	2	0	702	0	334	304	0	0	52	20	82	0	0	727	516	2	151	0	38	0	594	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
SB358	11/18/2014	36	13440	0	0	0	0	0	2	4	20	4	9	7	2	0	0	11	61	891	4	10	0	23	0	0	22	93	0	0	0	581	25	0	0	0	60	0	0	0	0	3	1197	0	3	0	0	0	0	248	0	0	7	0	181	1033	2	0	0	0	70	52	0	0	0	249	0	23	0	25	274	0	0	0	0	5	0	1223	0	600	0	0	2	5	0	0	0	0	0	221	0	1744	5	0	14	0	44	0	0	0	0	0	0	2	0	16	26	0	0	0	0	823	0	361	142	0	0	49	26	62	0	0	1316	318	5	50	0	5	0	1163	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
SB359	11/18/2014	657	10804	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	25	0	0	299	0	18	0	0	0	629	5	45	193	135	5	0	2	0	2	0	0	0	0	16	2724	1492	0	306	0	0	0	82	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	370	0	0	0	6	6	0	0	0	9	0	0	417	16	0	347	15	0	10	0	0	56	0	0	378	0	2023	9	0	76	0	0	17	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	87	39	0	22	0	0	25	178	102	0	28	206	0	0	10	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SB360	12/10/2014	6	12471	0	0	0	0	0	0	0	0	0	54	0	0	0	2	0	257	21	0	0	0	31	0	0	122	124	0	0	18	77	4	0	0	0	35	0	0	0	0	0	3328	6	5	226	0	0	0	1406	0	0	0	0	53	248	0	0	0	0	472	249	0	0	0	215	0	0	0	12	227	0	0	0	0	9	0	37	7	160	0	0	0	2	0	0	0	0	0	155	0	973	83	0	47	0	0	0	0	0	0	0	0	7	0	1	0	0	12	0	0	32	0	10	7	3	0	19	0	0	0	0	382	119	0	1397	2	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1734
SB361	12/10/2014	13	17748	0	3	0	37	0	12	1	42	0	68	0	0	0	0	6	35	361	0	3	0	22	0	0	64	58	0	0	0	254	11	0	0	0	51	0	9	0	0	0	2014	0	8	13	3	0	0	3835	0	10	39	0	137	574	7	0	0	3	1278	208	0	0	0	344	0	6	3	62	486	0	0	0	0	0	0	282	0	181	0	0	0	9	0	0	0	0	0	237	0	424	0	0	22	0	2	0	0	3	0	0	0	39	0	0	0	11	0	0	0	850	3	157	58	0	0	25	0	17	0	0	3777	397	4	548	1	13	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510
