"","date","month","year","doy","subembay","station","class","genus","current_species","density","biovolume","tax"
"1",1992-04-01,4,1992,92,"SOU","30","Diatom","Asterionellopsis","Asterionellopsis glacialis",8.4,47502,"DUFF"
"2",1992-04-01,4,1992,92,"SOU","30","Diatom","Ceratoneis","Ceratoneis closterium",16.3,950.6,"DUFF"
"3",1992-04-01,4,1992,92,"SOU","30","Diatom","Chaetoceros","Chaetoceros debilis",292.5,307827,"DUFF"
"4",1992-04-01,4,1992,92,"SOU","30","Diatom","Coscinodiscus","Coscinodiscus radiatus",1,476403.6,"DUFF"
"5",1992-04-01,4,1992,92,"SOU","30","Diatom","Cyclotella","Cyclotella sp.",134,21122.2,"DUFF"
"6",1992-04-01,4,1992,92,"SOU","30","Diatom","Gyrosigma","Gyrosigma acuminatum",0.2,6160,"DUFF"
"7",1992-04-01,4,1992,92,"SOU","30","Diatom","Melosira","Melosira nummuloides",3.2,36779.8,"DUFF"
"8",1992-04-01,4,1992,92,"SOU","30","Diatom","Nitzschia","Nitzschia spp.",32.3,3625.9,"DUFF"
"9",1992-04-01,4,1992,92,"SOU","30","Diatom","Paralia","Paralia sulcata",33.6,37225.5,"DUFF"
"10",1992-04-01,4,1992,92,"SOU","30","Diatom","Pleurosigma","Pleurosigma normanii",0.6,31356,"DUFF"
"11",1992-04-01,4,1992,92,"SOU","30","Diatom","Pseudonitzschia","Pseudo-nitzschia seriata",21.1,42622.4,"DUFF"
"12",1992-04-01,4,1992,92,"SOU","30","Diatom","Rhizosolenia","Rhizosolenia setigera",0.8,63175.2,"DUFF"
"13",1992-04-01,4,1992,92,"SOU","30","Diatom","Skeletonema","Skeletonema costatum",122.4,55809.2,"DUFF"
"14",1992-04-01,4,1992,92,"SOU","30","Diatom","Thalassiosira","Thalassiosira angulata",1.8,9694.4,"DUFF"
"15",1992-04-01,4,1992,92,"SOU","30","Diatom","Trieres","Trieres mobiliensis",1,405966.9,"DUFF"
"16",1992-04-01,4,1992,92,"SOU","30","Chlorophyte","Chlamydomonas","Chlamydomonas spp.",32.5,459.4,"DUFF"
"17",1992-04-01,4,1992,92,"SOU","30","Chlorophyte","Chlamydomonas","Chlamydomonas spp.",103.2,3457.2,"DUFF"
"18",1992-04-01,4,1992,92,"SOU","30","Chlorophyte","Chlorella","Chlorella salina",12025.3,68544,"DUFF"
"19",1992-04-01,4,1992,92,"SOU","30","Chlorophyte","Nannochloris","Nannochloris spp.",3256.2,13675.9,"DUFF"
"20",1992-04-01,4,1992,92,"SOU","30","CHRYSOPHYCEAE","Kephyrion","Kephyrion sp.",488.4,4014.5,"DUFF"
"21",1992-04-01,4,1992,92,"SOU","30","CILIOPHORA","Myrionecta","Myrionecta rubra",5.6,21184.8,"DUFF"
"22",1992-04-01,4,1992,92,"SOU","30","Cryptophyte","Cryptomonas","Cryptomonas sp.",692.9,291066.2,"DUFF"
"23",1992-04-01,4,1992,92,"SOU","30","Cryptophyte","Plagioselmis","Plagioselmis prolonga",2359.4,66622.5,"DUFF"
"24",1992-04-01,4,1992,92,"SOU","30","Cryptophyte","Teleaulax","Teleaulax amphioxeia",1558.9,227066.3,"DUFF"
"25",1992-04-01,4,1992,92,"SOU","30","Cyanobacteria","Synechococcus","Synechococcus sp.",16.3,373.3,"DUFF"
"26",1992-04-01,4,1992,92,"SOU","30","Dinoflagellate","Alexandrium","Alexandrium tamarense",1,4825.3,"DUFF"
"27",1992-04-01,4,1992,92,"SOU","30","Dinoflagellate","Gyrodinium","Gyrodinium spirale",16.3,622860.7,"DUFF"
"28",1992-04-01,4,1992,92,"SOU","30","Dinoflagellate","Heterocapsa","Heterocapsa rotundata",84.1,18787.7,"DUFF"
"29",1992-04-01,4,1992,92,"SOU","30","Dinoflagellate","Heterocapsa","Heterocapsa triquetra",77.8,182154.2,"DUFF"
"30",1992-04-01,4,1992,92,"SOU","30","EUGLENOPHYTA","Eutreptia","Eutreptia lanowii",28.9,42043.2,"DUFF"
"31",1992-04-01,4,1992,92,"SOU","30","HAPTOPHYTA","Chrysochromulina","Chrysochromulina kappa",65,2178.1,"DUFF"
"32",1992-04-01,4,1992,92,"SOU","30","PRASINOPHYTA","Pseudoscourfieldia","Pseudoscourfieldia marina",234.2,5719.6,"DUFF"
"33",1992-04-01,4,1992,92,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas micron",1056.1,4435.4,"DUFF"
"34",1992-04-01,4,1992,92,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",261.9,18205.9,"DUFF"
"35",1992-04-01,4,1992,92,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",13,17339.4,"DUFF"
"36",1992-04-01,4,1992,92,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",30.1,127766.6,"DUFF"
"37",1992-04-07,4,1992,98,"SPB","13","Diatom","Achnanthidium","Achnanthidium sp.",68.8,5572.8,"DUFF"
"38",1992-04-07,4,1992,98,"SPB","13","Diatom","Biddulphia","Biddulphia biddulphiana",0.2,27897.1,"DUFF"
"39",1992-04-07,4,1992,98,"SPB","13","Diatom","Ceratoneis","Ceratoneis closterium",0.2,11.7,"DUFF"
"40",1992-04-07,4,1992,98,"SPB","13","Diatom","Chaetoceros","Chaetoceros debilis",1.2,1772.4,"DUFF"
"41",1992-04-07,4,1992,98,"SPB","13","Diatom","Chaetoceros","Chaetoceros socialis",2,395.8,"DUFF"
"42",1992-04-07,4,1992,98,"SPB","13","Diatom","Coscinodiscus","Coscinodiscus radiatus",4,1100508.1,"DUFF"
"43",1992-04-07,4,1992,98,"SPB","13","Diatom","Cyclotella","Cyclotella sp.",51.6,9912.4,"DUFF"
"44",1992-04-07,4,1992,98,"SPB","13","Diatom","Ditylum","Ditylum brightwellii",0.4,31498.9,"DUFF"
"45",1992-04-07,4,1992,98,"SPB","13","Diatom","Eucampia","Eucampia zodiacus",2.6,19110,"DUFF"
"46",1992-04-07,4,1992,98,"SPB","13","Diatom","Fragilaria","Fragilaria sp.",2.4,768,"DUFF"
"47",1992-04-07,4,1992,98,"SPB","13","Diatom","Guinardia","Guinardia delicatula",0.8,3420.1,"DUFF"
"48",1992-04-07,4,1992,98,"SPB","13","Diatom","Gyrosigma","Gyrosigma fasciola",0.2,2680,"DUFF"
"49",1992-04-07,4,1992,98,"SPB","13","Diatom","Gyrosigma","Gyrosigma obscurum",0.2,3714.5,"DUFF"
"50",1992-04-07,4,1992,98,"SPB","13","Diatom","Helicotheca","Helicotheca tamesis",0.4,5952.5,"DUFF"
"51",1992-04-07,4,1992,98,"SPB","13","Diatom","Lithodesmium","Lithodesmium undulatum",1.6,274383.6,"DUFF"
"52",1992-04-07,4,1992,98,"SPB","13","Diatom","Melosira","Melosira moniliformis",34.4,37267.1,"DUFF"
"53",1992-04-07,4,1992,98,"SPB","13","Diatom","Nitzschia","Nitzschia spp.",43.1,3211.3,"DUFF"
"54",1992-04-07,4,1992,98,"SPB","13","Diatom","Nitzschia","Nitzschia spp.",0.2,3950.3,"DUFF"
