Date	Station	BG_ID	Ochrophyta	Ochrophyta	Dinoflagellata	Protalveolata	Protalveolata	Protalveolata	Protalveolata	Protalveolata	Protalveolata	Protalveolata	Ochrophyta	Stramenopiles	Archaeplastida	Ochrophyta	Ochrophyta	Ochrophyta	Bacillariophyceae	Chlorophyta	Bicosoecida	Bicosoecida	Ochrophyta	Ochrophyta	Ochrophyta	Ochrophyta	Ochrophyta	Charophyta	Chlorophyta	Chlorophyta	Chlorophyta	Chlorophyta	Archaeplastida	Ochrophyta	Haptophyta	Haptophyta	Ochrophyta	Haptophyta	Ochrophyta	Ochrophyta	Chlorophyta	Cryptophyceae	Cryptophyceae	Cryptophyceae	Cryptophyceae	Cryptophyceae	Cryptophyceae	Ochrophyta	Ochrophyta	Chlorophyta	Chlorophyta	Dinoflagellata	Dinoflagellata	Ochrophyta	Ochrophyta	Dinoflagellata	Ochrophyta	Dinoflagellata	Stramenopiles	Ochrophyta	Cryptophyceae	Ochrophyta	Dinoflagellata	Dinoflagellata	Ochrophyta	Dinoflagellata	Dinoflagellata	Chlorophyta	Ochrophyta	Cryptophyceae	Ochrophyta	Cryptophyceae	Dinoflagellata	Ochrophyta	Haptophyta	Dinoflagellata	Cryptophyceae	Ochrophyta	Ochrophyta	Ochrophyta	Chlorophyta	Chlorophyta	Chlorophyta	Chlorophyta	Ochrophyta	Ochrophyta	Chlorophyta	Chlorophyta	Chlorophyta	Ochrophyta	Ochrophyta	Dinoflagellata	Bicosoecida	Ochrophyta	Dinoflagellata	Ochrophyta	Ochrophyta	Ochrophyta	Chlorophyta	Dinoflagellata	Bicosoecida	Ochrophyta	Haptophyta	Ochrophyta	Chlorophyta	Dinoflagellata	Dinoflagellata	Haptophyta	Cryptophyceae	Ochrophyta	Chlorophyta	Chlorophyta	Dinoflagellata	Dinoflagellata	Haptophyta	Haptophyta	Haptophyta	Ochrophyta	Haptophyta	Ochrophyta	Chlorophyta	Ochrophyta	Chlorophyta	Chlorophyta	Ochrophyta	Cryptophyceae	Ochrophyta	Chlorophyta	Opisthokonta	Chlorophyta	Ochrophyta	Ochrophyta	Dinoflagellata	Stramenopiles	Dinoflagellata	Dinoflagellata	Dinoflagellata	Dinoflagellata	Ochrophyta	Cryptophyceae	Chlorophyta	Ochrophyta	Dinoflagellata	Stramenopiles	Stramenopiles	Stramenopiles	Chlorophyta	Ochrophyta	Ochrophyta	Chlorophyta	Cryptophyceae	Charophyta
Date	Station	BG_ID	Actinocyclus	Actinoptychus	Alexandrium	Amoebophrya	Amoebophrya_eukaryote_clone_OLI11115	Amoebophrya_sp_ex_Cochlodinium	Amoebophrya_sp_ex_Gymnodinium	Amoebophrya_sp_ex_Karlodinium	Amoebophrya_sp_ex_Prorocentrum	Amoebophrya_sp_ex_Scrippsiella	Apedinella	Aplanochytrium	Archaeplastida	Asteromphalus	Aulacoseira	Aureococcus	Bacillariophyceae	Bathycoccus	Bicosoeca	Bicosoecida	Biddulphia	Bolidomonas	Brockmanniella	Cerataulina	Chaetoceros	Charophyta	Chlamydomonadales	Chlamydomonas	Chlorophyceae	Chlorophyta	Chloroplastida	Chromulinales	Chrysocampanula	Chrysochromulina	Chrysophyceae	Coccolithales	Cocconeis	Coscinodiscus	Crustomastix	Cryptomonadales	Cryptomonas	Cryptophyceae	Cryptophyta_sp_CR_MAL03	Cryptophyta_sp_CR_MAL04	Cryptophyta_sp_FU44_30	Cyclotella	Cylindrotheca	Cymbomonas	Desmodesmus	Dinoflagellata	Dinophysis	Discostella	Ditylum	Duboscquella	Eucampia	Euduboscquella	eukaryote_marine_clone	Eunotogramma	Falcomonas	Fragilariopsis	Gonyaulacales	Gonyaulax	Guinardia	Gymnodinium_clade	Gyrodinium	Hafniomonas	Helicotheca	Hemiarma	Hemidiscus	Hemiselmis	Heterocapsa	Heterosigma	Isochrysidales	Karlodinium	Katablepharis	Lauderia	Leptocylindrus	Mallomonas	Mamiella	Mamiellales	Mantoniella	Marsupiomonas	Mediophyceae	Melosira	Micromonas	Monomastix	Mychonastes	Nannochloropsis	Navicula	Neoceratium	Nerada	Nitzschia	Noctiluca	Ochromonadales	Ochrophyta	Odontella	Ostreococcus	Oxyrrhis	Paramonas	Paraphysomonas	Pavlova	Pedinellales	Pedinomonas	Peridiniales	Peridiniopsis	Phaeocystis	Plagioselmis	Pleurosigma	Prasinophytae	Prasinophyte_sp_NIES3669	Prorocentrum	Protoperidinium	Prymnesiales	Prymnesiophyceae	Prymnesium	Pseudo_nitzschia	Pseudoisochrysis	Pseudopedinella	Pseudoscourfieldia	Pteridomonas	Pterosperma	Pyramimonas	Rhizosolenia	Rhodomonas	Skeletonema	Spermatozopsis	Sphaeroeca	Sphaeropleales	Spumella	Spumella_like_flagellate	Stoeckeria	Stramenopiles	Suessiaceae	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_II	Synura	Teleaulax	Tetraselmis	Thalassiosirales	Thoracosphaeraceae	Thraustochytriaceae	Thraustochytriidae	Thraustochytrium	Trebouxiophyceae	Triparma	Ulnaria	Ulvophyceae	Vorticellides	Zygnematophyceae
3/13/2015	18	SB1	5	0	170	618	67	106	78	144	92	285	126	27	0	0	0	13	42	1111	0	0	0	66	0	99	617	482	0	0	0	911	15	0	0	165	0	0	0	1070	0	1430	0	0	113	1468	36	0	4	3	0	7101	35	0	294	44	41	289	940	0	702	14	0	0	128	4446	2376	0	0	0	11	319	278	96	82	2334	872	0	31	0	0	60	0	523	389	0	1090	0	0	0	54	0	0	0	179	5	622	4	937	0	0	80	0	41	0	0	0	17	0	5	2468	7	0	157	78	25	23	20	0	0	74	0	0	1066	11	147	144	0	0	0	0	0	0	387	197	2	0	6	0	3495	33	3271	43	23	0	0	196	2	0	4	0	0
3/27/2015	36	SB10	0	55	0	38	0	19	0	12	98	13	52	6	0	0	0	55	68	119	0	0	0	419	0	0	343	130	0	0	0	778	57	0	0	256	0	2	0	0	0	1334	0	73	90	613	0	0	0	0	0	1023	0	0	2	5	0	18	734	76	459	0	0	0	0	0	102	0	2	0	0	293	0	0	0	1132	1018	0	0	0	0	172	82	793	3645	0	166	0	0	8	23	0	0	4	0	38	296	0	170	0	0	22	4	31	0	0	0	0	0	0	0	0	0	0	5	0	52	0	6	2	278	5	0	2196	0	459	4033	0	0	0	0	0	0	1189	0	30	0	0	0	2285	17	4763	10	14	0	0	13	13	0	0	0	0
11/8/2016	27	SB100	0	0	0	8	0	0	0	4	26	0	2	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	36	0	0	4	26	0	1	0	0	0	35	0	0	0	0	0	0	12	0	27	0	0	0	0	253	38	0	0	0	0	30	9	0	0	22	4	0	0	0	0	2	0	0	10	0	28	0	0	0	0	0	0	0	0	0	2	0	41	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	69	0	15	3	0	0	0	0	0	0	5	0	0	0	0	0	157	0	21	0	0	0	0	27	0	0	0	0	0
11/8/2016	32	SB101	0	5	0	137	0	54	3	26	85	0	41	2	0	0	0	0	17	2014	0	13	0	15	0	0	0	51	0	0	0	463	29	0	0	78	0	3	0	5	0	982	0	4	217	886	0	0	0	0	0	1354	0	0	2	0	0	5	373	0	515	0	0	9	0	1195	184	0	0	0	0	254	0	0	0	374	155	0	0	0	0	188	0	46	49	0	1271	0	0	0	0	0	0	0	0	0	261	0	1931	0	0	106	0	19	0	0	0	0	0	0	14	0	0	0	2	4	7	0	0	0	109	0	0	574	0	243	196	0	0	0	0	0	0	193	0	55	0	0	0	2159	0	621	1	8	0	0	140	6	0	0	0	0
11/8/2016	36	SB102	0	2	0	34	0	0	0	0	18	0	4	2	0	0	0	0	2	773	0	0	0	11	0	0	4	26	0	0	0	145	5	0	0	23	0	0	0	0	0	375	0	0	26	255	0	0	0	0	0	236	0	0	0	0	0	0	126	0	188	0	0	1	0	239	57	0	0	0	0	63	0	0	0	38	37	0	0	0	0	19	0	38	21	0	382	0	0	0	3	0	0	0	0	0	72	0	1530	6	0	36	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	18	0	0	74	0	55	125	0	0	0	0	0	0	20	0	41	0	0	0	844	0	128	0	2	0	0	190	2	0	0	0	0
12/13/2016	18	SB105	22	0	0	16	0	8	27	21	56	0	0	0	0	2	0	0	4	55	0	4	0	0	0	0	17	17	0	0	0	44	0	0	0	12	0	0	0	0	0	67	0	0	10	39	4	0	0	0	0	336	0	0	7	7	0	31	31	0	21	0	0	0	6	88	29	0	0	0	0	4	15	2	10	63	45	0	6	0	0	0	0	16	23	0	23	0	0	0	8	2	0	0	46	0	11	0	23	0	0	0	0	2	0	0	0	18	0	0	7	2	0	5	0	0	0	0	0	0	5	0	0	28	0	8	13	0	0	0	0	0	0	31	0	0	0	4	0	79	0	158	0	3	0	0	2	0	0	0	0	0
12/13/2016	22	SB106	16	0	0	9	0	0	18	14	21	0	2	0	0	0	0	0	0	74	0	4	0	4	0	2	0	0	0	0	0	39	0	0	0	8	0	0	0	4	0	55	0	0	2	40	0	0	0	0	0	226	0	0	2	6	0	22	26	0	23	0	0	0	0	105	43	0	0	0	0	10	2	8	0	94	17	0	7	0	0	0	5	13	12	0	21	0	0	0	0	0	0	0	2	0	11	0	15	0	0	4	0	3	0	0	0	2	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	48	0	9	14	0	0	0	0	0	0	6	0	0	0	0	0	91	0	134	0	0	0	0	0	0	0	0	0	0
12/13/2016	27	SB107	0	3	0	23	0	6	0	4	19	0	4	0	0	0	0	0	4	142	0	8	0	3	0	0	0	7	0	0	0	36	0	0	0	21	0	0	0	0	0	114	0	0	6	29	0	2	0	0	0	273	0	0	0	3	0	10	31	0	56	0	0	0	0	200	25	0	0	0	0	11	3	0	0	186	26	0	0	0	0	0	0	9	39	0	17	0	0	0	0	0	0	0	0	0	21	0	29	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	5	0	0	98	0	13	11	0	0	0	0	0	0	24	0	0	0	0	0	123	0	89	0	0	0	0	47	0	0	0	0	0
12/13/2016	32	SB108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	4	0	13	0	0	0	7	0	0	0	0	0	19	0	0	0	0	0	0	2	0	4	0	0	0	0	20	5	0	0	0	0	3	0	0	0	4	8	0	0	0	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	5	0	0	0	0	0	0	2	0	0	0	0	0	25	0	25	0	0	0	0	0	0	0	0	0	0
12/13/2016	36	SB109	0	4	0	158	0	19	0	2	300	466	6	3	0	0	0	0	53	459	0	51	0	26	0	0	54	109	0	0	14	71	20	0	0	40	0	0	0	0	0	1045	0	23	71	36	0	0	4	0	0	2290	0	0	2	8	0	22	264	0	203	0	0	0	0	589	167	0	0	0	0	183	0	0	0	472	507	0	0	0	0	8	8	99	205	0	94	0	0	7	8	0	0	0	2	0	432	0	619	4	0	122	0	59	0	0	0	0	0	0	1	0	0	0	17	8	11	0	18	0	67	0	0	266	0	95	216	0	0	0	0	0	0	261	0	0	0	0	0	1109	0	856	0	4	0	0	237	0	0	0	0	0
5/19/2015	6	SB11	0	0	0	67	0	2	0	0	0	0	6	0	0	0	0	0	19	10	0	5	0	16	0	0	28	101	0	0	17	28	17	0	0	10	0	0	0	0	0	1610	0	0	0	0	2	646	5	0	0	131	0	0	0	0	0	5	29	0	114	0	0	0	0	219	11	0	0	0	0	250	0	0	0	6	99	0	0	0	123	0	0	104	29	0	4	0	0	0	5	0	0	0	0	0	44	0	616	0	0	9	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	37	0	0	0	0	0	0	0	0	338	0	0	0	0	467	0	1678	30	0	0	0	5	0	0	0	0	0
1/11/2017	18	SB113	17	4	81	187	0	0	0	0	22	0	3	14	0	0	0	0	0	87	0	4	0	29	0	0	29	9	0	0	0	53	22	0	0	26	0	0	0	2	0	152	0	0	14	22	0	0	0	10	0	589	10	0	2	2	0	38	146	7	59	0	0	0	8	206	65	0	0	0	0	16	0	0	11	200	83	5	0	0	0	0	1	3	25	0	12	0	0	2	4	2	0	0	3	0	142	0	67	0	0	33	0	16	0	0	0	18	0	0	27	0	0	3	7	7	6	2	0	0	8	0	0	39	0	10	13	0	0	0	0	0	0	48	0	0	0	8	0	122	0	364	7	0	0	0	6	0	0	0	0	0
1/11/2017	22	SB114	7	3	90	124	3	3	0	5	16	0	8	0	0	0	0	0	0	53	0	2	0	31	0	0	10	56	0	0	0	8	0	0	0	14	2	0	0	0	0	150	2	0	14	7	0	0	0	6	0	459	9	0	2	0	0	31	60	0	35	0	0	0	2	241	18	0	0	0	0	7	0	2	7	161	40	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	88	0	34	0	0	10	0	6	0	0	0	14	0	0	17	0	0	0	2	0	0	2	0	0	0	0	0	52	0	14	7	0	0	0	0	0	0	21	0	0	0	3	0	280	0	330	2	2	0	0	6	0	0	0	0	0
1/11/2017	27	SB115	0	4	14	114	0	3	0	4	0	11	23	0	0	0	0	0	0	127	0	4	0	2	0	0	8	23	0	0	0	39	9	0	0	7	0	0	0	2	0	200	0	0	59	80	0	0	0	3	0	923	0	0	0	1	0	0	95	0	139	0	0	0	0	198	5	0	0	0	0	54	1	4	0	292	80	0	0	0	0	0	3	7	71	0	18	0	0	2	0	0	0	0	0	0	97	0	120	0	0	34	0	4	0	0	0	6	0	0	34	0	0	0	14	5	0	0	0	0	15	0	0	127	0	68	18	0	0	0	0	0	0	50	0	0	0	0	0	706	0	614	3	0	0	0	19	0	0	0	0	0
1/23/2017	18	SB116	0	0	44	82	0	0	2	0	4	0	20	2	2	0	0	0	18	87	0	184	0	328	0	0	38	206	0	0	4	138	12	1	0	117	0	0	0	0	5	687	7	5	15	56	0	28	0	0	0	1376	8	149	0	0	0	21	1439	0	41	0	0	0	0	154	2	0	0	0	0	53	0	8	0	28	281	0	0	0	0	0	0	3	338	0	4	3	4	5	13	0	46	0	0	0	1914	0	49	6	671	73	0	21	0	0	0	0	0	0	24	5	0	0	8	6	0	0	0	0	9	0	0	129	0	18	12	0	2	0	23	46	0	1083	0	0	0	0	0	598	0	148	9	18	0	16	27	0	0	0	0	0
