bg_id,date,station,alex_qpcr,dens,alex_seqs_18s,tot_18s_seqs,sxtA
SB01,3/13/15,18,220,ND,327,149424,14
SB02,3/13/15,22,84,ND,40,34388,NA
SB03,3/13/15,27,3,ND,1,71225,NA
SB04,3/13/15,32,5,ND,0,17763,NA
SB05,3/13/15,36,2,ND,1,119109,NA
SB06,3/27/15,18,1461,ND,1200,104149,6
SB07,3/27/15,22,107,ND,152,124531,NA
SB08,3/27/15,27,4,ND,0,146,NA
SB09,3/27/15,32,2,ND,0,44588,NA
SB10,3/27/15,36,3,ND,0,78494,NA
SB11,5/19/15,6,3,ND,0,102746,NA
SB12,5/19/15,13,2,ND,1,1757,NA
SB13,5/19/15,18,184,ND,385,107896,1
SB14,5/19/15,22,43,ND,71,43508,NA
SB15,5/19/15,27,19,ND,0,1490,NA
SB16,5/19/15,32,12,ND,0,11286,NA
SB17,5/19/15,34,18,ND,0,7764,NA
SB18,5/19/15,657,4,ND,0,61869,NA
SB19,5/27/15,18,353,ND,1051,98765,2
SB20,5/27/15,22,20,ND,36,15765,NA
SB21,5/27/15,27,2,ND,0,113052,NA
SB22,5/27/15,32,2,ND,0,63225,NA
SB23,5/27/15,34,2,ND,1,37813,NA
SB24,7/21/15,6,ND,ND,1,1943,NA
SB25,7/21/15,13,4,ND,12,29761,NA
SB26,7/21/15,657,2,ND,1,56145,NA
SB27,7/23/15,18,4,ND,2,40887,2
SB28,7/23/15,22,ND,ND,0,4419,NA
SB29,7/23/15,27,ND,ND,0,53559,NA
SB30,7/23/15,32,1,ND,1,176043,NA
SB31,7/23/15,36,ND,ND,0,16924,NA
SB32,8/21/15,21,14,ND,9,4870,NA
SB33,8/21/15,27,1,ND,10,115701,NA
SB34,8/21/15,36,3,ND,0,115884,NA
SB35,8/26/15,6,ND,ND,0,2588,NA
SB36,8/26/15,13,7,ND,21,37733,NA
SB37,8/26/15,18,8,ND,55,5595,NA
SB38,8/26/15,657,10,ND,64,58327,NA
SB39,11/5/15,18,1,ND,25,4655,0
SB40,11/5/15,22,ND,ND,0,300,NA
SB41,11/5/15,27,2,ND,1,563,NA
SB42,11/5/15,32,1,ND,3,2148,NA
SB43,11/5/15,36,ND,ND,1,2086,NA
SB45,6/28/16,13,168,ND,208,110920,NA
SB46,6/28/16,18,15,ND,3,7807,NA
SB47,6/28/16,22,452,ND,246,158284,NA
SB48,6/28/16,27,4,ND,2,129064,NA
SB49,6/28/16,32,ND,ND,2,20289,NA
SB50,6/28/16,36,ND,ND,0,18555,NA
SB52,7/14/16,18,3,ND,0,183,NA
SB53,7/14/16,22,19,ND,1,569,NA
SB54,7/14/16,27,4,ND,0,18991,NA
SB55,7/14/16,32,2,ND,0,128004,NA
SB56,7/14/16,36,2,ND,0,54421,NA
SB57,8/18/16,18,3,ND,3,4362,0
SB58,8/18/16,22,5,ND,1,5526,NA
SB59,8/18/16,27,3,ND,0,116991,NA
SB60,8/18/16,32,5,ND,NA,NA,NA
SB62,8/18/16,38,2,ND,0,51396,NA
SB63,8/24/16,6,36,NA,18,92285,NA
SB64,8/24/16,13,5,ND,1,14359,NA
SB65,8/24/16,18,9,ND,2,708,NA
SB66,8/24/16,22,4,ND,0,611,NA
SB67,8/24/16,27,2,ND,0,19210,NA
