bg_id,date,station,pn_qpcr,pn_dens,pn_seqs_18s,tot_18s_seqs,domA
SB01,3/13/15,18,280,13.4,ND,149424,ND
SB02,3/13/15,22,ND,1.8,ND,34388,ND
SB03,3/13/15,27,ND,ND,ND,71225,ND
SB04,3/13/15,32,ND,ND,ND,17763,ND
SB05,3/13/15,36,ND,ND,ND,119109,ND
SB06,3/27/15,18,86,0.4,ND,104149,ND
SB07,3/27/15,22,344,47.5,ND,124531,ND
SB08,3/27/15,27,ND,ND,ND,146,ND
SB09,3/27/15,32,ND,ND,ND,44588,ND
SB10,3/27/15,36,ND,ND,ND,78494,ND
SB11,5/19/15,6,ND,ND,ND,102746,ND
SB12,5/19/15,13,ND,ND,ND,1757,ND
SB13,5/19/15,18,132,152.8,ND,107896,ND
SB14,5/19/15,22,ND,ND,ND,43508,ND
SB15,5/19/15,27,ND,ND,ND,1490,ND
SB16,5/19/15,32,ND,ND,ND,11286,ND
SB17,5/19/15,34,ND,ND,ND,7764,ND
SB18,5/19/15,657,ND,ND,ND,61869,ND
SB19,5/27/15,18,20,3.6,ND,98765,ND
SB20,5/27/15,22,ND,12.1,ND,15765,ND
SB21,5/27/15,27,ND,ND,ND,113052,ND
SB22,5/27/15,32,ND,ND,ND,63225,ND
SB23,5/27/15,34,ND,ND,ND,37813,ND
SB24,7/21/15,6,ND,ND,ND,1943,ND
SB25,7/21/15,13,ND,ND,ND,29761,ND
SB26,7/21/15,657,ND,ND,ND,56145,ND
SB27,7/23/15,18,94,52.8,ND,40887,ND
SB28,7/23/15,22,ND,ND,ND,4419,ND
SB29,7/23/15,27,ND,ND,ND,53559,ND
SB30,7/23/15,32,ND,ND,ND,176043,ND
SB31,7/23/15,36,ND,ND,ND,16924,ND
SB32,8/21/15,21,ND,9.1,ND,4870,ND
SB33,8/21/15,27,ND,ND,ND,115701,ND
SB34,8/21/15,36,ND,ND,ND,115884,ND
SB35,8/26/15,6,ND,ND,ND,2588,ND
SB36,8/26/15,13,ND,ND,ND,37733,ND
SB37,8/26/15,18,ND,ND,ND,5595,ND
SB38,8/26/15,657,ND,ND,ND,58327,ND
SB39,11/5/15,18,ND,ND,ND,4655,ND
SB40,11/5/15,22,ND,ND,ND,300,ND
SB41,11/5/15,27,ND,ND,ND,563,ND
SB46,6/28/16,18,18,0.2,ND,7807,NA
SB58,8/18/16,22,106,36.7,ND,5526,NA
SB105,12/13/16,18,56,29.1,ND,13028,NA
SB113,1/11/17,18,ND,4.3,ND,11429,NA
SB132,3/7/17,36,ND,26.7,ND,132500,NA
SB160,7/31/17,18,ND,20.1,ND,791,NA
SB161,7/31/17,22,ND,21.8,ND,1617,NA
SB173,8/30/17,18,ND,0.8,ND,379,NA
SB198,11/14/17,18,18,34.2,ND,18545,NA
SB199,11/14/17,22,ND,29.1,ND,18938,NA
