bg_id,date,station,qpcr,dens,count.18s,totalreads.18s,sxtA,domA,taxon
SB01,3/13/2015,18,220,ND,327,149424,14,,Alexandrium
SB02,3/13/2015,22,84,ND,40,34388,NA,,Alexandrium
SB03,3/13/2015,27,3,ND,1,71225,NA,,Alexandrium
SB04,3/13/2015,32,5,ND,0,17763,NA,,Alexandrium
SB05,3/13/2015,36,2,ND,1,119109,NA,,Alexandrium
SB06,3/27/2015,18,1461,ND,1200,104149,6,,Alexandrium
SB07,3/27/2015,22,107,ND,152,124531,NA,,Alexandrium
SB08,3/27/2015,27,4,ND,0,146,NA,,Alexandrium
SB09,3/27/2015,32,2,ND,0,44588,NA,,Alexandrium
SB10,3/27/2015,36,3,ND,0,78494,NA,,Alexandrium
SB11,5/19/2015,6,3,ND,0,102746,NA,,Alexandrium
SB12,5/19/2015,13,2,ND,1,1757,NA,,Alexandrium
SB13,5/19/2015,18,184,ND,385,107896,1,,Alexandrium
SB14,5/19/2015,22,43,ND,71,43508,NA,,Alexandrium
SB15,5/19/2015,27,19,ND,0,1490,NA,,Alexandrium
SB16,5/19/2015,32,12,ND,0,11286,NA,,Alexandrium
SB17,5/19/2015,34,18,ND,0,7764,NA,,Alexandrium
SB18,5/19/2015,657,4,ND,0,61869,NA,,Alexandrium
SB19,5/27/2015,18,353,ND,1051,98765,2,,Alexandrium
SB20,5/27/2015,22,20,ND,36,15765,NA,,Alexandrium
SB21,5/27/2015,27,2,ND,0,113052,NA,,Alexandrium
SB22,5/27/2015,32,2,ND,0,63225,NA,,Alexandrium
SB23,5/27/2015,34,2,ND,1,37813,NA,,Alexandrium
SB24,7/21/2015,6,ND,ND,1,1943,NA,,Alexandrium
SB25,7/21/2015,13,4,ND,12,29761,NA,,Alexandrium
SB26,7/21/2015,657,2,ND,1,56145,NA,,Alexandrium
SB27,7/23/2015,18,4,ND,2,40887,2,,Alexandrium
SB28,7/23/2015,22,ND,ND,0,4419,NA,,Alexandrium
SB29,7/23/2015,27,ND,ND,0,53559,NA,,Alexandrium
SB30,7/23/2015,32,1,ND,1,176043,NA,,Alexandrium
SB31,7/23/2015,36,ND,ND,0,16924,NA,,Alexandrium
SB32,8/21/2015,21,14,ND,9,4870,NA,,Alexandrium
SB33,8/21/2015,27,1,ND,10,115701,NA,,Alexandrium
SB34,8/21/2015,36,3,ND,0,115884,NA,,Alexandrium
SB35,8/26/2015,6,ND,ND,0,2588,NA,,Alexandrium
SB36,8/26/2015,13,7,ND,21,37733,NA,,Alexandrium
SB37,8/26/2015,18,8,ND,55,5595,NA,,Alexandrium
SB38,8/26/2015,657,10,ND,64,58327,NA,,Alexandrium
SB39,11/5/2015,18,1,ND,25,4655,0,,Alexandrium
SB40,11/5/2015,22,ND,ND,0,300,NA,,Alexandrium
SB41,11/5/2015,27,2,ND,1,563,NA,,Alexandrium
SB42,11/5/2015,32,1,ND,3,2148,NA,,Alexandrium
SB43,11/5/2015,36,ND,ND,1,2086,NA,,Alexandrium
SB45,6/28/2016,13,168,ND,208,110920,NA,,Alexandrium
SB46,6/28/2016,18,15,ND,3,7807,NA,,Alexandrium
SB47,6/28/2016,22,452,ND,246,158284,NA,,Alexandrium
SB48,6/28/2016,27,4,ND,2,129064,NA,,Alexandrium
SB49,6/28/2016,32,ND,ND,2,20289,NA,,Alexandrium
SB50,6/28/2016,36,ND,ND,0,18555,NA,,Alexandrium
SB52,7/14/2016,18,3,ND,0,183,NA,,Alexandrium
SB53,7/14/2016,22,19,ND,1,569,NA,,Alexandrium
SB54,7/14/2016,27,4,ND,0,18991,NA,,Alexandrium
SB55,7/14/2016,32,2,ND,0,128004,NA,,Alexandrium
SB56,7/14/2016,36,2,ND,0,54421,NA,,Alexandrium
SB57,8/18/2016,18,3,ND,3,4362,0,,Alexandrium
SB58,8/18/2016,22,5,ND,1,5526,NA,,Alexandrium
SB59,8/18/2016,27,3,ND,0,116991,NA,,Alexandrium
SB60,8/18/2016,32,5,ND,NA,NA,NA,,Alexandrium
SB62,8/18/2016,38,2,ND,0,51396,NA,,Alexandrium
SB63,8/24/2016,6,36,NA,18,92285,NA,,Alexandrium
SB64,8/24/2016,13,5,ND,1,14359,NA,,Alexandrium
SB65,8/24/2016,18,9,ND,2,708,NA,,Alexandrium
SB66,8/24/2016,22,4,ND,0,611,NA,,Alexandrium
SB67,8/24/2016,27,2,ND,0,19210,NA,,Alexandrium
SB68,8/24/2016,32,3,ND,0,260,NA,,Alexandrium
SB69,8/24/2016,36,2,ND,0,3933,NA,,Alexandrium
SB70,8/24/2016,657,3,ND,0,81731,NA,,Alexandrium
SB71,9/9/2016,18,561,ND,24,4257,1,,Alexandrium
SB72,9/9/2016,22,51,ND,11,5487,NA,,Alexandrium
SB73,9/9/2016,27,4,ND,1,11459,NA,,Alexandrium
SB74,9/9/2016,32,3,ND,0,113564,NA,,Alexandrium
SB75,9/9/2016,36,3,ND,0,116269,NA,,Alexandrium
SB76,9/20/2016,6,3,ND,1,141763,NA,,Alexandrium
SB77,9/20/2016,13,27,ND,0,6557,NA,,Alexandrium
SB78,9/20/2016,18,2841,ND,1008,170953,5,,Alexandrium
SB79,9/20/2016,22,202,ND,27,10994,5,,Alexandrium
SB80,9/20/2016,27,ND,ND,1,44226,NA,,Alexandrium
SB81,9/20/2016,32,123,ND,0,11164,NA,,Alexandrium
SB82,9/20/2016,36,1,ND,0,81643,NA,,Alexandrium
SB83,9/20/2016,657,1,ND,0,11789,NA,,Alexandrium
SB84,10/11/2016,18,427,ND,199,34609,1,,Alexandrium
SB85,10/11/2016,22,941,ND,359,40324,NA,,Alexandrium
SB86,10/11/2016,27,28,ND,3,7435,NA,,Alexandrium
SB87,10/11/2016,32,1,ND,0,179430,NA,,Alexandrium
SB88,10/11/2016,33,ND,ND,0,27497,NA,,Alexandrium
SB89,10/18/2016,6,ND,ND,0,52895,NA,,Alexandrium
SB90,10/18/2016,13,ND,ND,0,13089,NA,,Alexandrium
SB91,10/18/2016,18,189,ND,33,21946,0,,Alexandrium
SB92,10/18/2016,22,80,ND,15,13471,NA,,Alexandrium
SB93,10/18/2016,27,12,ND,2,15915,NA,,Alexandrium
SB94,10/18/2016,32,8,ND,1,38588,NA,,Alexandrium
SB95,10/18/2016,657,2,ND,0,77879,NA,,Alexandrium
SB96,11/8/2016,6,ND,ND,2,110482,NA,,Alexandrium
SB97,11/8/2016,13,733,ND,12,56003,0,,Alexandrium
SB98,11/8/2016,18,5,ND,0,258,NA,,Alexandrium
SB99,11/8/2016,22,8,ND,0,808,NA,,Alexandrium
SB100,11/8/2016,27,2,ND,0,6921,NA,,Alexandrium
SB101,11/8/2016,32,ND,ND,2,94116,NA,,Alexandrium
SB102,11/8/2016,36,9,ND,1,22994,NA,,Alexandrium
SB105,12/13/2016,18,51,ND,4,13028,NA,,Alexandrium
SB106,12/13/2016,22,8,ND,3,6532,NA,,Alexandrium
SB107,12/13/2016,27,3,ND,0,6360,NA,,Alexandrium
SB108,12/13/2016,32,ND,ND,1,925,NA,,Alexandrium
SB109,12/13/2016,36,1,ND,0,38409,NA,,Alexandrium
SB113,1/11/2017,18,832,ND,135,11429,0,,Alexandrium
SB114,1/11/2017,22,2764,ND,135,9240,2,,Alexandrium
SB115,1/11/2017,27,180,ND,22,13813,NA,,Alexandrium
SB116,1/23/2017,18,265,ND,92,48401,0,,Alexandrium
SB117,1/23/2017,22,3193,ND,694,132343,20,,Alexandrium
SB118,1/23/2017,27,1106,ND,378,88409,NA,,Alexandrium
SB119,1/23/2017,32,582,ND,55,96655,NA,,Alexandrium
SB120,1/23/2017,36,5,ND,1,146249,NA,,Alexandrium
SB124,2/8/2017,18,455,ND,54,11096,5,,Alexandrium
SB125,2/17/2017,27,40,ND,55,192448,NA,,Alexandrium
SB126,2/17/2017,32,ND,ND,3,236207,NA,,Alexandrium
SB127,2/17/2017,36,ND,ND,1,237226,NA,,Alexandrium
SB128,3/7/2017,18,ND,ND,0,158822,0,,Alexandrium
SB129,3/7/2017,22,ND,ND,0,42522,NA,,Alexandrium
SB130,3/7/2017,27,ND,ND,0,77750,NA,,Alexandrium
SB131,3/7/2017,32,ND,ND,0,174103,NA,,Alexandrium
SB132,3/7/2017,36,ND,ND,0,132500,NA,,Alexandrium
SB133,4/4/2017,18,524,ND,523,96219,8,,Alexandrium
SB135,4/4/2017,22,41,ND,22,9971,NA,,Alexandrium
SB136,4/4/2017,27,1130,ND,943,90616,NA,,Alexandrium
SB137,4/4/2017,32,129,ND,26,143898,NA,,Alexandrium
SB138,4/4/2017,36,ND,ND,0,2764,NA,,Alexandrium
SB142,4/18/2017,18,864,ND,816,133213,0,,Alexandrium
SB143,4/18/2017,22,110,ND,180,114608,NA,,Alexandrium
SB144,4/18/2017,27,1866,ND,NA,NA,4,,Alexandrium
SB145,4/18/2017,32,ND,ND,NA,NA,NA,,Alexandrium
SB146,4/18/2017,36,ND,ND,2,151175,NA,,Alexandrium
SB148,5/17/2017,32,ND,ND,2,81751,NA,,Alexandrium
SB149,5/17/2017,36,1,ND,1,105323,NA,,Alexandrium
SB150,6/6/2017,18,6234,ND,2261,81245,1,,Alexandrium
SB151,6/6/2017,22,729,ND,247,20462,1,,Alexandrium
SB152,6/6/2017,27,3,ND,1,199274,NA,,Alexandrium
SB153,6/6/2017,32,ND,ND,2,151003,NA,,Alexandrium
